Alpha,Beta,Group Fairness,Individual Fairness,Accuracy,Demographic Parity Difference,Equalized Odds Difference,Theil Index,Gini Coefficient,Train Time (s),Trained This Run
0.005,1.0,equalized_odds_difference,atkinson_index,0.75,0.35,0.6,0.17,0.76,1.218,True
0.005,1.0,equalized_odds_difference,gini_coefficient,0.83,0.29,1.0,0.09,0.61,1.223,True
0.005,1.0,equal_opportunity_difference,theil_index,0.81,0.25,1.0,0.11,0.66,0.839,True
0.005,1.0,equal_opportunity_difference,generalized_entropy_index,0.77,0.25,1.0,0.14,0.72,0.842,True
0.005,1.0,equal_opportunity_difference,atkinson_index,0.82,0.26,1.0,0.1,0.64,0.836,True
0.005,1.0,equal_opportunity_difference,gini_coefficient,0.76,0.37,0.64,0.15,0.73,0.841,True
0.005,1.0,disparate_impact_difference,theil_index,0.79,0.23,1.0,0.12,0.67,0.591,True
0.005,1.0,disparate_impact_difference,generalized_entropy_index,0.77,0.24,1.0,0.15,0.73,0.577,True
0.005,1.0,disparate_impact_difference,atkinson_index,0.76,0.22,1.0,0.15,0.73,0.572,True
0.005,1.0,disparate_impact_difference,gini_coefficient,0.8,0.24,1.0,0.12,0.66,0.578,True
0.05,0.0,demographic_parity_difference,theil_index,0.78,0.42,0.72,0.13,0.69,0.574,True
0.05,0.0,demographic_parity_difference,generalized_entropy_index,0.69,0.26,0.45,0.22,0.82,0.575,True
0.05,0.0,demographic_parity_difference,atkinson_index,0.78,0.42,0.71,0.13,0.7,0.572,True
0.05,0.0,demographic_parity_difference,gini_coefficient,0.77,0.29,1.0,0.14,0.72,0.58,True
0.05,0.0,equalized_odds_difference,theil_index,0.78,0.25,1.0,0.13,0.69,1.23,True
0.05,0.0,equalized_odds_difference,generalized_entropy_index,0.68,0.25,0.42,0.23,0.83,1.233,True
0.05,0.0,equalized_odds_difference,atkinson_index,0.79,0.27,1.0,0.13,0.68,1.233,True
0.05,0.0,equalized_odds_difference,gini_coefficient,0.78,0.42,0.72,0.13,0.69,1.251,True
0.05,0.0,equal_opportunity_difference,theil_index,0.71,0.31,0.53,0.19,0.79,0.848,True
0.05,0.0,equal_opportunity_difference,generalized_entropy_index,0.74,0.35,0.61,0.17,0.77,0.846,True
0.05,0.0,equal_opportunity_difference,atkinson_index,0.76,0.4,0.68,0.15,0.72,0.849,True
0.05,0.0,equal_opportunity_difference,gini_coefficient,0.72,0.32,0.55,0.19,0.79,0.839,True
0.05,0.0,disparate_impact_difference,theil_index,0.73,0.34,0.59,0.18,0.77,0.569,True
0.05,0.0,disparate_impact_difference,generalized_entropy_index,0.75,0.39,0.67,0.16,0.74,0.58,True
0.05,0.0,disparate_impact_difference,atkinson_index,0.79,0.27,1.0,0.13,0.68,0.568,True
